Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-08-04,176.5018768310547,177.23525999772042,176.01295043235726,176.77162178664867,81820800
2015-08-05,177.0835723876953,178.12885202197495,176.79695142280738,177.40389379363725,85786800
2015-08-06,175.63365173339844,177.37860136075744,175.0435595971987,177.26901061613233,116030800
2015-08-07,175.2964630126953,175.62522239997963,174.38604943342392,175.47349323481643,117858000
2015-08-10,177.5050506591797,177.5893403459408,176.41760693902745,176.41760693902745,80270700
2015-08-11,175.9033660888672,176.57774779644564,175.1362567357122,176.15626083705428,126081400
2015-08-12,176.1141357421875,176.2995910609025,173.113150203364,174.5883547804749,172123700
2015-08-13,175.8949737548828,176.64522016788285,175.34703288791917,175.95397525155556,89383300
2015-08-14,176.53555297851562,176.6114175254284,175.55770038689073,175.7010043742009,72786500
2015-08-17,177.52188110351562,177.52188110351562,175.47346057844797,175.93709882365724,79072600
2015-08-18,177.00767517089844,177.59775439252033,176.7716434822497,177.2437068595472,71692700
2015-08-19,175.60833740234375,177.03295255660873,174.79065165130203,176.25741807513072,172946000
2015-08-20,171.94137573242188,175.58301604441758,171.88236138930534,174.0825236333636,194327900
2015-08-21,166.7655487060547,171.91612038349808,166.50422882293316,170.0531421755877,346588500
2015-08-24,159.74356079101562,166.4704891953121,153.7584407033453,158.04918781110874,507244300
2015-08-25,157.86373901367188,164.7592599163388,157.56869297897325,164.74239683536007,369833100
2015-08-26,163.92474365234375,164.2029137767897,158.79102177967897,161.9184612454917,339257000
2015-08-27,167.9794464111328,168.10588737643758,164.55697374740646,166.08275475498033,274143900
2015-08-28,167.9879150390625,168.4599785821746,166.8414694931759,167.33039612361824,160414400
2015-08-31,166.6306610107422,167.86140865107902,166.07429511047644,167.00157161091937,163298800
2015-09-01,161.6571502685547,164.1860726234639,160.7804499823715,162.7951576106053,256000400
2015-09-02,164.72555541992188,164.7677066932402,162.2050584835331,164.0595987446753,160269300
2015-09-03,164.84359741210938,166.95103278464268,164.34624575125503,165.44210185476058,152087800
2015-09-04,162.3483428955078,163.4189233671046,161.52223206194452,162.56752434516008,207081000
2015-09-08,166.42832946777344,166.58007145710064,164.52321310079506,165.17230659977102,116025700
2015-09-09,164.20294189453125,168.14806791451812,163.8320440441704,168.0216269272094,149347700
2015-09-10,165.0964813232422,166.25135171501603,163.7477176288131,164.0090375397023,158611100
2015-09-11,165.84666442871094,165.91410387395925,163.98368673415828,164.70021958500755,119691200
2015-09-14,165.23133850097656,166.0743125488903,164.742412009655,166.02373616405757,79452000
2015-09-15,167.29660034179688,167.74337546505637,165.18916566122923,165.73709353307262,113806200
2015-09-16,168.7465362548828,168.94042954424017,167.254481473214,167.6001039148375,99581600
2015-09-17,168.3671875,171.0309883334253,167.98785178588685,168.6116571545534,276046600
2015-09-18,165.61581420898438,168.3527718997516,165.20061782685315,165.83613515914368,223657500
2015-09-21,166.4716796875,167.50544282164665,165.41248396064427,166.4547289355724,105726200
2015-09-22,164.3109130859375,164.77696177825692,163.1669765620294,164.285493423596,153890900
2015-09-23,164.04827880859375,164.95494384546745,163.46360055798513,164.48042611443393,92790600
2015-09-24,163.45509338378906,163.92114212941362,161.4722819165534,162.81957589329278,159378800
2015-09-25,163.41270446777344,165.2345157516431,162.531446476503,164.92946689768547,155054800
2015-09-28,159.3114776611328,162.61617549407683,158.99795991968952,162.50601502075546,178515900
2015-09-29,159.40469360351562,160.7774198650499,158.39633734430123,159.53180483068311,159045600
2015-09-30,162.3789520263672,162.54842076318582,160.52323897355902,161.31127441810176,163452000
2015-10-01,162.80259704589844,163.10764588165466,160.84520573714303,162.76022663794805,131079000
2015-10-02,165.23448181152344,165.2599014666624,160.25202253018625,160.80281189400344,211003300
2015-10-05,168.1748504638672,168.40364034579613,166.36150801849337,166.47166850416923,126320800
2015-10-06,167.59869384765625,168.6070504967547,166.92928767242705,168.03932299886702,110274500
2015-10-07,168.9713592529297,169.3272474239699,167.33595451854197,168.53919917195427,124307300
2015-10-08,170.49661254882812,170.7847106650008,168.2765296551278,168.58157852214433,153055200
2015-10-09,170.59829711914062,171.08128363306977,169.96277970158891,170.64066753290442,107069200
2015-10-12,170.75929260253906,170.9626498960313,170.24240459885522,170.67455177716087,56395600
2015-10-13,169.68307495117188,171.30152835718795,169.51360630119143,170.02201225113276,88038700
2015-10-14,168.8697052001953,170.2085302913422,168.5731381232579,169.6238521198678,99106200
2015-10-15,171.46258544921875,171.47105435918016,169.1662437455931,169.53908265803122,134142200
2015-10-16,172.24212646484375,172.25906428227086,171.098190236563,171.86928760734094,114580100
2015-10-19,172.3268585205078,172.3268585205078,171.27614491075028,171.58966262596735,76523900
2015-10-20,172.1066131591797,172.72517990581883,171.63209549438054,171.88630508041913,78448500
2015-10-21,171.03892517089844,172.6827860206722,170.86944351681248,172.5302680475567,102038000
2015-10-22,173.92835998535156,174.14019907314267,171.0388846544009,171.9963885390671,174911700
2015-10-23,175.8349609375,176.2077999049962,174.80966670652086,175.61465287926833,144442300
2015-10-26,175.40277099609375,175.71628871981218,175.0299321194382,175.65698049650732,69033000
2015-10-27,175.06385803222656,175.4027954602962,174.3774884064893,174.72490767452285,77905800
2015-10-28,177.05514526367188,177.0805649253312,174.7333966345562,175.40280260764274,135906700
2015-10-29,176.9534454345703,177.32628433378866,176.4280885836534,176.54671796707441,90525500
2015-10-30,176.1908416748047,177.4703583434629,176.02985479079635,177.1483587161765,131076900
2015-11-02,178.2753448486328,178.47023323572196,176.3942122647011,176.5213235055605,86270800
2015-11-03,178.792236328125,179.35149476761924,177.69067020083986,177.91946009511207,95246100
2015-11-04,178.2499237060547,179.21590965224308,177.70761603327583,179.08881134207414,96224500
2015-11-05,178.07196044921875,178.77526788450305,177.17376464235542,178.30921923104552,78408700
2015-11-06,177.97874450683594,178.21601621001548,176.63993268309713,177.72454791348895,110471500
2015-11-09,176.3179168701172,177.51269246745792,175.36040002449388,177.36016159584972,131008700
2015-11-10,176.7246856689453,176.75858717262847,175.56381129568527,175.83495867697408,75874600
2015-11-11,176.0298309326172,177.04665607141155,175.9620408660798,176.99581675391678,67846000
2015-11-12,173.572509765625,175.45364231028964,173.55557194423858,174.97912471877686,121315200
2015-11-13,171.62359619140625,173.4284698460484,171.53886829110488,173.1573224635945,153577100
2015-11-16,174.2334442138672,174.2927653767331,171.31853570446503,171.4371780301968,117645200
2015-11-17,174.10635375976562,175.43669683817012,173.60641649149542,174.54698279212946,121123700
2015-11-18,176.86871337890625,177.01276242807776,174.54696491273344,174.58932239276987,121342500
2015-11-19,176.71620178222656,177.13988003491488,176.41962183349108,176.75009035340258,88220500
2015-11-20,177.3601837158203,178.04654039957754,176.97887588369227,177.47881310647423,94011500
2015-11-23,177.15684509277344,177.92792974841817,176.69079639125067,177.41952356191305,64931200
2015-11-24,177.39407348632812,177.80080095172923,175.7501999462227,176.1399766627558,98874400
2015-11-25,177.36866760253906,177.72455577860794,177.10597622839953,177.52118556529686,51980100
2015-11-27,177.57199096679688,177.7753611412606,176.97884411998373,177.46183050609173,37317800
2015-11-30,176.83485412597656,177.8516794784685,176.72469362849768,177.73305006950503,112822700
2015-12-01,178.5210418701172,178.63968417971043,177.1906990326763,177.47032819893315,97858400
2015-12-02,176.6992645263672,178.79223628885876,176.44505496941335,178.47023665474154,108441300
2015-12-03,174.22500610351562,177.22464303777008,173.49627884733766,176.95349562574214,166224200
2015-12-04,177.62289428710938,177.91947428220882,174.22499882402906,174.22499882402906,192913900
2015-12-07,176.54673767089844,177.71608088666,175.57226990652353,177.2924026229234,102027100
2015-12-08,175.3604278564453,176.49588248125178,174.36902228735596,174.9706511008893,103372400
2015-12-09,173.99618530273438,176.82635298600337,173.0132486330945,174.71644351902648,162401500
2015-12-10,174.4452667236328,175.7671407055222,173.82670014075038,174.06395891033907,116128900
2015-12-11,171.06434631347656,172.97936748265255,170.75081559441216,172.30996148990556,211173300
2015-12-14,171.92861938476562,172.05573061067525,169.42892043081048,171.2253249058593,182385200
2015-12-15,173.7334747314453,174.64862115851733,171.90318187730128,173.4538455790373,154069600
2015-12-16,176.27552795410156,176.58057673565182,173.5385707580123,174.86891340975157,197017000
2015-12-17,173.58941650390625,176.65684224962217,173.57246575718295,176.58905219236036,173092500
2015-12-18,170.49691772460938,172.97738989130644,170.33495977076495,172.8410158834315,251393500
2015-12-21,171.90338134765625,172.082390940294,170.55658876690632,171.68176219129828,99094300
2015-12-22,173.46331787109375,173.76166293247437,171.80114125939548,172.79844722641445,111026200
2015-12-23,175.61134338378906,175.65396595883215,174.3838860594175,174.4776505218788,110987200
2015-12-24,175.32150268554688,175.87557010056057,175.099883523491,175.35560594529866,48539600
2015-12-28,174.9208984375,174.96350800511817,173.8383474843777,174.62255342467162,65899900
2015-12-29,176.7876739501953,177.1201092779049,175.99494855588242,176.02903881739212,92640700
2015-12-30,175.53463745117188,176.62572086834837,175.38973108486047,176.54047570859566,63317700
2015-12-31,173.7786407470703,175.50049097112978,173.7786407470703,174.85267218692238,114877900
2016-01-04,171.34933471679688,171.35785402861043,169.27799736680456,170.89756406560267,222353500
2016-01-05,171.63914489746094,172.0994348537644,170.52250375675152,171.67323515080156,110845800
2016-01-06,169.47410583496094,170.53107308409747,168.43417721420064,169.0649446353727,152112600
2016-01-07,165.4081573486328,168.29779168842293,165.01604778041767,166.49922787768364,213436100
2016-01-08,163.59249877929688,166.94243533813776,163.3026860916041,166.37984858679297,209817200
2016-01-11,163.75448608398438,164.8626081545266,161.8024967418624,164.52164051389062,187941300
2016-01-12,165.07571411132812,165.83434925553271,162.92766341952967,165.21210117258843,172330500
2016-01-13,160.95858764648438,166.09855522374482,160.57501050020497,165.74906833213288,221168900
2016-01-14,163.6009979248047,164.73469059976836,159.96126213351153,161.57229635444273,240795600
2016-01-15,160.08917236328125,160.89894941013037,158.1371829342835,159.20268247134445,324846400
2016-01-19,160.3022918701172,162.04971392586364,158.71682784485964,161.92185916841856,195244400
2016-01-20,158.2479705810547,159.8249149444741,154.30136952583686,157.71948702441213,286547800
2016-01-21,159.13449096679688,160.99271593993478,157.38706910244585,158.725342781199,195772900
2016-01-22,162.39913940429688,162.6037069386971,161.00120489070326,161.76835915786967,168319600
2016-01-25,159.9442596435547,162.0837779467476,159.74821137835497,161.88772968154788,130371700
2016-01-26,162.1264190673828,162.40771252696754,160.26819397911578,160.60914865380732,141036800
2016-01-27,160.36192321777344,163.28564728004505,159.44984950323914,161.59789990009403,185681700
2016-01-28,161.19728088378906,162.12639328014131,159.53510434752016,161.921825710499,143798800
